표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수,,,,,,corp_code
KR7037710001,37710,광주신세계보통주,광주신세계,GwangjuShinsegae,2002-02-07,KOSPI,주권,,보통주,1000,7957190,,37710,37710,37710,037710,037710
KR7030610000,30610,교보증권보통주,교보증권,"KYOBOSECURITIESCO.,LTD.",2002-07-18,KOSPI,주권,,보통주,5000,113962961,,30610,30610,30610,030610,030610
KR7339770000,339770,교촌에프앤비보통주,교촌에프앤비,KYOCHON FOOD&BEVERAGE,2020-11-12,KOSPI,주권,,보통주,500,49965080,,339770,339770,339770,339770,339770
KR7007690001,7690,국도화학보통주,국도화학,KukdoChemical,1989-08-05,KOSPI,주권,,보통주,5000,9260832,,7690,7690,7690,007690,007690
KR7001140003,1140,국보보통주,국보,KUKBO,1989-12-02,KOSPI,주권,,보통주,500,15856388,,1140,1140,1140,001140,001140
KR7002720001,2720,국제약품보통주,국제약품,Kukje Pharma,1975-12-27,KOSPI,주권,,보통주,1000,21159832,,2720,2720,2720,002720,002720
KR7114090004,114090,그랜드코리아레저보통주,GKL,Grand Korea Leisure,2009-11-19,KOSPI,주권,,보통주,500,61855670,,114090,114090,114090,114090,114090
KR7083420000,83420,그린케미칼보통주,그린케미칼,GREEN CHEMICAL,2005-10-20,KOSPI,주권,,보통주,500,24000000,,83420,83420,83420,083420,083420
KR7014530000,14530,극동유화보통주,극동유화,KukdongOil&Chem.,1991-01-31,KOSPI,주권,,보통주,500,34869420,,14530,14530,14530,014530,014530
KR7014281000,14285,금강공업1우선주,금강공업우,KUMKANG KIND(1P),1989-07-31,KOSPI,주권,,구형우선주,1000,589875,,14285,14285,14285,014285,014285
KR7014280002,14280,금강공업보통주,금강공업,KUMKANG KIND,1988-09-10,KOSPI,주권,,보통주,1000,29329357,,14280,14280,14280,014280,014280
KR7008870008,8870,금비보통주,금비,Kumbi,1990-06-08,KOSPI,주권,,보통주,5000,1000000,,8870,8870,8870,008870,008870
KR7001570001,1570,금양보통주,금양,Kumyang,1976-12-17,KOSPI,주권,,보통주,500,63967196,,1570,1570,1570,001570,001570
KR7002991008,2995,금호건설1우선주,금호건설우,KUMHOE&C(1P),1988-10-06,KOSPI,주권,,구형우선주,5000,292266,,2995,2995,2995,002995,002995
KR7002990000,2990,금호건설보통주,금호건설,KUMHOE&C,1976-06-26,KOSPI,주권,,보통주,5000,36996760,,2990,2990,2990,002990,002990
KR7011781002,11785,금호석유화학1우선주,금호석유화학우,KumhoPetrochemical(1P),1988-10-20,KOSPI,주권,,구형우선주,5000,3023486,,11785,11785,11785,011785,011785
KR7011780004,11780,금호석유화학보통주,금호석유화학,KumhoPetrochemical,1988-01-22,KOSPI,주권,,보통주,5000,26031742,,11780,11780,11780,011780,011780
KR7214330003,214330,금호에이치티보통주,금호에이치티,"Kumho HT, Inc.",2015-11-11,KOSPI,주권,,보통주,500,218046510,,214330,214330,214330,214330,214330
KR7001210004,1210,금호전기보통주,금호전기,KumhoElectric,1973-11-15,KOSPI,주권,,보통주,500,61553997,,1210,1210,1210,001210,001210
KR7073240004,73240,금호타이어보통주,금호타이어,"KUMHOTIRECO.,INC",2005-02-17,KOSPI,주권,,보통주,5000,287260287,,73240,73240,73240,073240,073240
KR7092440007,92440,기신정기 보통주,기신정기,KISHIN CORPORATION,2007-10-30,KOSPI,주권,,보통주,500,29200000,,92440,92440,92440,092440,092440
KR7000270009,270,기아보통주,기아,KIA CORPORATION,1973-07-21,KOSPI,주권,,보통주,5000,390412998,,270,270,270,000270,000270
KR7013700000,13700,까뮤이앤씨보통주,까뮤이앤씨,CAMUS ENGINEERING & CONSTRUCTION Inc.,1989-11-30,KOSPI,주권,,보통주,500,59750830,,13700,13700,13700,013700,013700
KR7004541009,4545,깨끗한나라1우선주,깨끗한나라우,KleanNara(1P),1988-11-21,KOSPI,주권,,구형우선주,1000,366160,,4545,4545,4545,004545,004545
KR7004540001,4540,깨끗한나라보통주,깨끗한나라,KleanNara,1975-06-25,KOSPI,주권,,보통주,1000,37240693,,4540,4540,4540,004540,004540
